Rk,Team,Date,xG,Cmp,TklW,Subs,Recov,Live,GCA,TotDist,SCA,Rec,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,Subs,Mn/Sub,Off,PKwon,PKcon,OG,Recov,Match Report
1,Leicester City,2018-08-10,1.8,475,11,3,62,551,2,2616,24,472,@,Manchester Utd,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,1.8,1.8,+0.3,+1.0,0.8,1.0,-0.8,-0.8,-0.8,0.14,13,0.08,0.25,4,30.8,20.6,1,475,598,79.4,9,41,8,1,55,7658,2469,249,278,89.6,156,193,80.8,43,76,56.6,24,20,2,1,0,1,0,2,2,0,0,0,0,0,476,2616,1364,24,30,6,14,17,472,52,472,52,476,2616,1364,24,30,6,14,17,14,11,3,6,5,3,14,21.4,11,8,1,7,12,26,14,0,551,45,15,1,8,27,18,5,3,2,0,2,11,3,22,2,0,1,0,62,Match Report
2,Manchester Utd,2018-08-10,1.5,418,13,3,64,480,3,1575,14,416,,Leicester City,eng Premier League,W 2-1,2,1,+1,47,1,1,1,0,1.5,0.7,-0.3,-1.0,0.7,0.3,+0.5,+0.3,+0.3,0.10,7,0.14,0.20,5,71.4,20.8,0,418,522,80.1,7,31,2,0,27,6673,2221,228,247,92.3,119,148,80.4,43,77,55.8,14,12,0,1,1,0,0,3,1,0,1,1,0,0,311,1575,770,15,6,2,17,11,416,27,416,27,311,1575,770,15,6,2,17,11,26,13,14,9,3,9,18,50.0,9,15,5,10,17,43,36,0,480,38,9,1,8,12,20,2,1,0,1,4,7,3,15,4,0,0,0,64,Match Report
3,Cardiff City,2018-08-11,1.4,191,12,3,61,278,0,1015,18,190,@,Bournemouth,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,1.4,1.4,-0.7,+0.1,1.5,1.2,-1.4,-1.4,-1.5,0.16,10,0.00,0.00,1,10.0,13.1,1,191,327,58.4,8,25,4,1,27,4015,1807,69,95,72.6,79,114,69.3,33,91,36.3,18,12,1,1,3,1,0,0,0,0,0,0,0,0,179,1015,483,11,6,6,9,3,190,27,190,27,179,1015,483,11,6,6,9,3,22,12,13,7,2,10,21,47.6,11,16,2,14,15,37,31,0,278,47,10,0,1,18,20,4,4,0,0,2,11,3,20,2,0,1,0,61,Match Report
4,Fulham,2018-08-11,0.7,622,19,3,58,687,0,2408,27,622,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,65,0,0,0,0,0.7,0.7,-0.3,-0.3,0.5,0.7,-0.7,-0.7,-0.5,0.05,15,0.00,0.00,6,40.0,20.4,1,622,730,85.2,10,49,13,6,70,11149,3529,275,305,90.2,261,295,88.5,71,104,68.3,27,19,2,2,2,2,0,0,0,0,0,0,0,0,436,2408,1238,17,13,2,14,16,622,70,622,70,436,2408,1238,17,13,2,14,16,27,19,10,15,2,9,21,42.9,12,5,2,3,15,42,23,1,687,41,12,3,9,32,16,5,1,4,0,2,6,3,20,2,0,0,0,58,Match Report
5,Crystal Palace,2018-08-11,1.0,286,15,3,57,335,4,1446,22,284,@,Fulham,eng Premier League,W 2-0,2,0,+2,35,2,0,0,0,1.0,1.0,+0.3,+0.3,0.9,0.7,+1.0,+1.0,+1.1,0.08,12,0.17,0.20,10,83.3,17.8,0,286,388,73.7,10,19,8,2,36,5249,2459,127,154,82.5,118,148,79.7,34,68,50.0,22,16,3,1,1,0,1,4,3,0,1,0,0,0,233,1446,827,19,8,7,14,18,284,36,284,36,233,1446,827,19,8,7,14,18,22,15,11,11,0,6,14,42.9,8,8,4,4,14,36,32,0,335,50,11,2,1,12,25,5,0,0,3,3,4,3,4,3,0,0,0,57,Match Report
6,Bournemouth,2018-08-11,2.2,432,5,3,58,491,4,2625,21,432,,Cardiff City,eng Premier League,W 2-0,2,0,+2,63,2,0,1,1,2.2,1.4,+0.7,-0.1,1.3,1.1,-0.2,+0.6,+0.7,0.13,11,0.18,0.67,3,27.3,16.7,0,432,547,79.0,8,21,12,4,48,7484,2691,201,238,84.5,189,223,84.8,38,66,57.6,21,12,1,5,1,2,0,4,3,0,1,0,0,0,445,2625,1527,25,19,8,27,12,432,48,432,48,445,2625,1527,25,19,8,27,12,11,5,5,6,0,8,17,47.1,9,11,3,8,4,15,40,0,491,56,10,2,0,11,31,7,2,2,0,0,15,3,9,0,1,0,0,58,Match Report
7,Chelsea,2018-08-11,1.9,615,6,3,55,650,6,2541,25,611,@,Huddersfield,eng Premier League,W 3-0,3,0,+3,62,2,1,1,0,1.9,1.1,+1.6,+0.8,0.9,0.5,+1.1,+0.9,+1.1,0.10,12,0.17,0.67,3,25.0,17.7,2,615,701,87.7,9,34,5,2,32,9605,3105,330,358,92.2,212,228,93.0,44,72,61.1,25,15,2,2,3,3,0,6,4,0,1,0,1,0,464,2541,1317,29,25,8,15,21,611,32,611,32,464,2541,1317,29,25,8,15,21,12,6,7,5,0,5,11,45.5,6,6,1,5,9,21,22,0,650,50,8,0,3,11,30,5,1,2,1,1,7,3,16,1,1,0,0,55,Match Report
8,Newcastle Utd,2018-08-11,1.0,301,11,3,62,381,2,1108,27,298,,Tottenham,eng Premier League,L 1-2,1,2,-1,42,1,0,0,0,1.0,1.0,-1.0,-1.0,0.7,0.9,0.0,0.0,+0.3,0.07,15,0.07,0.50,2,13.3,17.7,0,301,441,68.3,8,21,10,2,34,5465,2164,134,172,77.9,107,139,77.0,40,82,48.8,27,18,4,3,1,0,1,2,2,0,0,0,0,0,249,1108,448,5,10,1,17,15,298,34,298,34,249,1108,448,5,10,1,17,15,14,11,9,5,0,5,9,55.6,4,12,3,9,20,34,19,2,381,59,12,6,8,12,36,3,1,2,0,1,14,3,21,1,0,0,0,62,Match Report
9,Wolves,2018-08-11,1.0,484,7,3,49,558,3,2184,20,483,,Everton,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,1.0,1.0,0.0,0.0,0.7,0.6,+1.0,+1.0,+0.3,0.09,11,0.18,0.50,4,36.4,23.1,1,484,607,79.7,5,44,6,2,60,9009,2611,181,209,86.6,234,269,87.0,57,96,59.4,20,17,0,2,0,1,0,3,2,0,0,0,1,0,388,2184,1244,18,13,4,14,14,483,60,483,60,388,2184,1244,18,13,4,14,14,13,7,9,4,0,4,6,66.7,2,11,0,11,9,22,24,1,558,47,9,8,8,25,31,3,1,2,0,2,16,3,14,2,0,0,0,49,Match Report
10,Watford,2018-08-11,1.2,348,11,3,56,426,4,1423,29,346,,Brighton,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,1.2,1.2,+0.9,+0.9,0.9,0.7,+0.8,+0.8,+1.1,0.07,19,0.11,0.40,5,26.3,17.7,2,348,476,73.1,13,21,11,3,44,6348,2583,168,197,85.3,118,150,78.7,50,103,48.5,29,14,5,0,5,4,1,4,2,1,0,0,0,1,313,1423,727,9,9,4,10,10,346,43,346,43,313,1423,727,9,9,4,10,10,18,11,5,12,1,2,8,25.0,6,6,1,5,12,30,13,0,426,50,17,1,3,20,16,8,3,2,0,0,9,3,10,0,0,0,0,56,Match Report
