Rk,Season,Team,Comp,Pts,xG,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
1,2023-2024,Manchester City,eng Premier League,91,80.5,38,28,7,3,91,2.39,1st,3420,115,96,34,+62,65.2,13,34.2,85,9,10,1,80.5,72.9,+44.9,+39.6,60.2,62.1,+13.5,+12.1,+8.8,0.11,683,0.12,0.32,264,38.7,17.1,25
2,2023-2024,Arsenal,eng Premier League,89,76.1,38,28,5,5,89,2.34,2nd,3420,154,91,29,+62,58.2,18,47.4,76,10,10,0,76.1,68.5,+48.2,+42.8,55.3,57.8,+9.9,+7.5,+6.7,0.11,647,0.12,0.36,209,32.3,15.8,6
3,2023-2024,Liverpool,eng Premier League,82,87.8,38,24,10,4,82,2.16,3rd,3420,166,86,41,+45,61.3,10,26.3,74,6,9,3,87.8,80.4,+42.0,+35.5,63.7,55.6,-7.8,-6.4,-3.7,0.11,781,0.09,0.28,263,33.7,17.2,18
4,2023-2024,Aston Villa,eng Premier League,68,63.3,38,20,8,10,68,1.79,4th,3420,151,76,61,+15,53.1,8,21.1,68,4,4,0,63.3,60.3,+3.4,+2.0,48.6,42.5,+8.7,+7.7,+6.4,0.12,511,0.13,0.37,182,35.6,16.0,15
5,2023-2024,Tottenham,eng Premier League,66,68.2,38,20,6,12,66,1.74,5th,3420,170,74,61,+13,61.6,7,18.4,67,2,2,0,68.2,66.7,+4.8,+8.3,57.4,52.1,+0.8,+0.3,+0.6,0.12,582,0.12,0.32,207,35.6,16.5,11
6,2023-2024,Chelsea,eng Premier League,63,74.5,38,18,9,11,63,1.66,6th,3420,148,77,63,+14,58.6,8,21.1,65,11,12,1,74.5,65.1,+16.4,+11.0,51.4,43.1,+1.5,-0.1,-0.4,0.12,537,0.12,0.34,194,36.1,17.3,22
7,2023-2024,Manchester Utd,eng Premier League,60,56.5,38,18,6,14,60,1.58,8th,3420,153,57,58,-1,50.6,9,23.7,51,6,7,1,56.5,51.0,-12.5,-12.4,40.1,34.6,+0.5,0.0,-4.1,0.10,543,0.09,0.28,182,33.5,17.4,15
8,2023-2024,Newcastle Utd,eng Premier League,60,76.0,38,18,6,14,60,1.58,7th,3420,149,85,62,+23,52.2,10,26.3,75,8,9,1,76.0,69.0,+14.6,+11.6,51.3,43.5,+7.0,+6.0,+3.7,0.13,542,0.14,0.38,196,36.2,15.7,9
9,2023-2024,West Ham,eng Premier League,52,52.3,38,14,10,14,52,1.37,9th,3420,109,60,74,-14,41.1,5,13.2,54,4,5,1,52.3,48.4,-18.8,-14.8,34.8,30.8,+5.7,+5.6,+5.2,0.11,445,0.12,0.37,146,32.8,16.2,17
10,2023-2024,Crystal Palace,eng Premier League,49,48.6,38,13,10,15,49,1.29,10th,3420,126,57,58,-1,42.3,10,26.3,52,4,4,0,48.6,45.4,-3.4,-4.2,38.7,31.5,+7.4,+6.6,+4.3,0.10,452,0.12,0.32,162,35.8,17.2,20
11,2023-2024,Bournemouth,eng Premier League,48,55.9,38,13,9,16,48,1.26,12th,3420,170,54,67,-13,44.4,9,23.7,50,2,3,1,55.9,53.6,-2.2,+1.1,40.5,33.7,-3.9,-3.6,-1.5,0.10,539,0.09,0.29,175,32.5,16.7,18
12,2023-2024,Everton,eng Premier League,48,54.0,38,13,9,16,48,1.26,15th,3420,121,40,51,-11,40.8,13,34.2,38,2,3,1,54.0,51.6,-1.2,+2.5,38.1,31.8,-14.0,-13.6,-21.1,0.11,504,0.08,0.25,152,30.2,16.7,14
13,2023-2024,Brighton,eng Premier League,48,56.8,38,12,12,14,48,1.26,11th,3420,176,55,62,-7,59.8,6,15.8,45,5,6,1,56.8,52.2,+1.4,+1.6,41.6,43.7,-6.8,-7.2,-5.6,0.10,555,0.08,0.23,198,35.7,16.7,11
14,2023-2024,Fulham,eng Premier League,47,50.8,38,13,8,17,47,1.24,13th,3420,170,55,61,-6,50.6,10,26.3,52,2,2,0,50.8,49.2,-12.1,-7.7,37.6,33.6,+3.2,+2.8,+2.4,0.10,499,0.10,0.30,175,35.1,17.0,14
15,2023-2024,Wolves,eng Premier League,46,46.7,38,13,7,18,46,1.21,14th,3420,146,50,65,-15,48.9,5,13.2,43,4,4,0,46.7,43.6,-21.0,-17.9,31.8,27.6,+0.3,-0.6,+4.2,0.11,425,0.10,0.28,153,36.0,16.7,12
16,2023-2024,Brentford,eng Premier League,39,58.2,38,10,9,19,39,1.03,16th,3420,170,56,65,-9,45.2,7,18.4,51,3,3,0,58.2,56.0,+2.2,+1.7,42.7,40.0,-4.2,-5.0,-4.7,0.12,470,0.11,0.32,159,33.8,15.6,17
